id,Difference Between Dates,quantity,demand,short_composition1
1306,80,57,1.0,Glimepiride (3mg) 
1319,45,27,1.0,Clozapine (100mg)
1321,97,65,1.0,Gabapentin (100mg)
1348,24,25,2.0,Glimepiride (2mg) 
1349,39,34,1.0,Desloratadine (10mg)
1354,9,16,2.0,Atomoxetine (10mg)
1360,47,40,1.0,Disodium Hydrogen Citrate (NA)
1363,84,44,1.0,Levocetirizine (5mg) 
1367,88,51,1.0,Alfuzosin (10mg) 
1387,26,20,1.0,Atorvastatin (10mg) 
1405,99,63,1.0,Glimepiride (1mg) 
1423,95,66,1.0,Amlodipine (2.5mg)
1438,65,40,1.0,Amlodipine (5mg)
1479,58,39,1.0,Aceclofenac (100mg) 
1485,39,26,1.0,Ambroxol (30mg/5ml) 
1490,56,43,1.0,Leflunomide (10mg)
1501,56,42,1.0,Amisulpride (50mg)
1505,92,66,1.0,Rosuvastatin (40mg)
1522,26,19,1.0,Amorolfine (5% w/v)
1525,43,27,1.0,Aceclofenac (100mg) 
1543,99,63,1.0,Amorolfine (0.25% w/w)
1544,42,28,1.0,Amoxycillin (125mg) 
1546,72,53,1.0,Aceclofenac (100mg) 
1571,48,40,1.0,Cetirizine (5mg/5ml)
1597,41,40,1.0,Guaifenesin (50mg) 
1607,44,37,1.0,Azithromycin (200mg/5ml)
1611,36,29,1.0,Losartan (50mg) 
1624,94,48,1.0,Amitriptyline (10mg)
1631,64,38,1.0,Aceclofenac (100mg) 
1640,58,37,1.0,Azithromycin (200mg/5ml)
1642,89,51,1.0,Aceclofenac (100mg) 
1645,32,24,1.0,Amlodipine (2.5mg)
1654,5,17,3.0,Amitriptyline (10mg)
1657,43,34,1.0,Rosuvastatin (10mg) 
1664,53,40,1.0,Dabigatran Etexilate (150mg)
1687,75,54,1.0,Gabapentin (400mg) 
1691,97,57,1.0,Glucosamine (750mg) 
1695,37,33,1.0,Clindamycin (1% w/w)
1696,28,27,1.0,Ambroxol (30mg) 
1720,72,51,1.0,Atorvastatin (10mg) 
1733,51,34,1.0,Atorvastatin (40mg)
1758,59,40,1.0,Disodium Hydrogen Citrate (1.53gm/5ml)
1763,37,27,1.0,Amoxycillin (250mg) 
1773,82,61,1.0,Amitriptyline (25mg) 
1795,16,17,2.0,Aripiprazole (10mg)
1827,96,55,1.0,Desloratadine (5mg) 
1833,91,57,1.0,Azilsartan medoxomil (40mg) 
1838,48,39,1.0,Aceclofenac (100mg) 
1850,39,32,1.0,Amoxycillin  (500mg) 
1853,48,34,1.0,Lidocaine (2% w/v)
1856,97,64,1.0,Lamivudine (300mg) 
1860,64,42,1.0,Thiocolchicoside (8mg) 
1864,44,37,1.0,Acotiamide (300mg)
1875,54,33,1.0,Escitalopram Oxalate (10mg)
1880,68,45,1.0,Olopatadine (0.1% w/v)
1883,48,27,1.0,Atorvastatin (10mg) 
1886,32,21,1.0,Aceclofenac (100mg) 
1900,91,63,1.0,Ivermectin  (6mg) 
1902,83,44,1.0,Inactivated influenza vaccine (NA)
1911,77,52,1.0,Cefixime (200mg)
1918,38,25,1.0,Aspirin (75mg) 
1921,50,33,1.0,Fluticasone Propionate (50mcg) 
1928,93,62,1.0,Azithromycin (250mg)
1930,58,38,1.0,Acotiamide (300mg)
1932,22,27,2.0,Bevacizumab (400mg)
1947,23,28,2.0,Salbutamol (4mg)
1957,60,39,1.0,Abacavir (300mg)
1961,49,35,1.0,Azithromycin (250mg)
1965,58,34,1.0,Paracetamol (500mg)
1966,53,32,1.0,Clindamycin (1% w/w) 
1977,65,39,1.0,Amlodipine (5mg)
1992,34,27,1.0,Cetirizine (5mg) 
2001,51,37,1.0,Amitriptyline (25mg)
2012,97,67,1.0,Diphtheria Toxoid (5LF) 
2020,12,20,2.0,Levosalbutamol (0.25mg/ml) 
2060,63,41,1.0,Erythromycin (10mg)
2067,21,16,1.0,Diclofenac (1%)
2083,34,24,1.0,Pantoprazole (40mg)
2088,55,47,1.0,Aceclofenac (100mg) 
2104,82,43,1.0,Azithromycin (200mg/5ml)
2114,85,46,1.0,Telmisartan (40mg) 
2124,79,50,1.0,Azithromycin (500mg)
2145,79,44,1.0,Nandrolone Decanoate (100mg)
2158,97,55,1.0,Atenolol (100mg)
2161,13,16,2.0,Aceclofenac (100mg) 
2187,86,62,1.0,Domperidone (10mg) 
2223,38,23,1.0,Adapalene (0.1% w/w)
2227,48,34,1.0,Disodium Hydrogen Citrate (1.53gm)
2228,24,28,2.0,Luliconazole (1% w/w)
2232,52,40,1.0,Afatinib dimaleate (30mg)
2243,82,42,1.0,Azithromycin (500mg)
2259,78,51,1.0,Atorvastatin (10mg) 
2282,40,20,1.0,Albendazole (400mg)
2314,75,47,1.0,Levocetirizine (5mg) 
2331,99,68,1.0,Atorvastatin (10mg) 
2336,77,54,1.0,Aripiprazole (15mg)
2337,71,42,1.0,Aceclofenac (100mg)
2339,50,26,1.0,Atorvastatin (10mg)
2341,93,49,1.0,Atenolol (50mg)
2369,88,55,1.0,Alprazolam (0.5mg)
2373,51,28,1.0,Cyproheptadine (2mg) 
2390,70,40,1.0,Atenolol (50mg) 
2404,20,27,2.0,Atorvastatin (10mg) 
2410,31,22,1.0,Acetazolamide (250mg)
2411,54,36,1.0,Darbepoetin alfa (200mcg)
2449,7,23,3.0,Cefuroxime (250mg)
2460,23,26,2.0,Mesalazine (400mg)
2473,8,14,2.0,Naphazoline (0.05% w/v) 
2485,92,66,1.0,Aceclofenac (100mg) 
2495,51,27,1.0,Glucosamine (NA) 
2497,43,34,1.0,Disodium Hydrogen Citrate (1.4gm/5ml)
2500,45,28,1.0,Aceclofenac (100mg) 
2502,90,64,1.0,Amoxycillin (250mg/5ml)
2512,98,61,1.0,Amitriptyline (10mg)
2517,94,54,1.0,Aceclofenac (100mg) 
2522,58,47,1.0,Azithromycin (200mg/5ml)
2531,69,53,1.0,Amoxycillin  (500mg) 
2549,59,32,1.0,Fluconazole (150mg) 
2555,65,51,1.0,Azithromycin (500mg)
2590,86,61,1.0,Alfacalcidol (0.5mcg)
2595,7,19,2.0,Deflazacort (6mg)
2596,83,51,1.0,Atorvastatin (20mg) 
2597,27,20,1.0,Erythromycin (250mg)
2610,76,39,1.0,Timolol (5mg) 
2626,69,48,1.0,Montelukast (10mg) 
2635,61,45,1.0,Levocetirizine (2.5mg/5ml) 
2653,81,44,1.0,Aceclofenac (100mg) 
2694,69,52,1.0,Acebrophylline (100mg) 
2707,79,51,1.0,Atorvastatin (10mg) 
2711,47,33,1.0,Amlodipine (5mg) 
2724,44,42,1.0,Lorcaserin (10mg)
2729,83,47,1.0,Aripiprazole (10mg)
2737,57,36,1.0,Coenzyme Q10 (100mg) 
2748,24,27,2.0,Doxycycline (100mg) 
2752,66,52,1.0,Atorvastatin (10mg) 
2754,90,56,1.0,Aluminium Hydroxide (400mg) 
2756,22,22,2.0,Aceclofenac (50mg) 
2790,31,28,1.0,Timolol (5mg) 
2821,78,44,1.0,Lidocaine (2% w/v) 
2830,6,18,2.0,Etoricoxib (60mg) 
2849,49,35,1.0,Aceclofenac (100mg) 
2861,42,24,1.0,Isoniazid (60mg) 
2907,94,50,1.0,Alprazolam (0.5mg)
2922,91,47,1.0,Clomipramine (10mg)
2931,60,31,1.0,Clomipramine (25mg)
2932,87,59,1.0,Chlorpheniramine Maleate (NA) 
2936,64,33,1.0,Cyproheptadine (2mg/5ml) 
2959,16,27,2.0,Ambroxol (30mg/5ml) 
2976,97,56,1.0,Azithromycin (200mg/5ml)
2994,9,24,2.0,Levocetirizine (5mg) 
2997,8,21,2.0,Glimepiride (1mg) 
3009,14,26,2.0,Aceclofenac (100mg) 
3010,9,14,2.0,Glimepiride (1mg) 
3011,99,59,1.0,Cyproheptadine (2mg) 
3015,50,25,1.0,Amlodipine (5mg)
3034,93,61,1.0,Ambroxol (30mg) 
3035,56,36,1.0,Azelnidipine (16mg)
3048,64,38,1.0,Amoxycillin (250mg) 
3050,44,24,1.0,Pantoprazole (40mg)
3051,47,29,1.0,Aripiprazole (20mg)
3076,31,32,2.0,Azithromycin (500mg)
3088,57,48,1.0,Apremilast (30mg)
3094,58,40,1.0,Ampicillin (1000mg)
3116,44,22,1.0,Azithromycin (500mg)
3120,75,43,1.0,Azithromycin (500mg)
3148,28,30,2.0,Azithromycin (100mg/5ml)
3150,27,17,1.0,Cefuroxime (500mg)
3159,90,61,1.0,Isotretinoin (NA)
3160,43,38,1.0,Aceclofenac (100mg) 
3179,70,53,1.0,Aceclofenac (100mg) 
3190,60,32,1.0,Nimesulide (100mg) 
3209,87,53,1.0,Rabeprazole (20mg)
3210,38,33,1.0,Aceclofenac (100mg) 
3222,71,36,1.0,Acetazolamide (250mg)
3231,41,21,1.0,Azithromycin (500mg)
3256,27,30,2.0,Amlodipine (5mg) 
3264,92,65,1.0,Cetirizine (2.5mg/5ml) 
3275,9,16,2.0,Levocetirizine (5mg) 
3284,46,32,1.0,Aceclofenac (100mg) 
3290,86,51,1.0,Azithromycin (100mg)
3301,37,21,1.0,Adapalene (0.1%)
3322,77,46,1.0,Aceclofenac (100mg) 
3326,67,36,1.0,Aceclofenac (100mg) 
3334,98,66,1.0,Fluconazole (150mg) 
3348,86,47,1.0,Azilsartan medoxomil (80mg)
3363,30,24,1.0,Amitriptyline (25mg)
3382,62,34,1.0,Aceclofenac (100mg) 
3423,59,48,1.0,Acebrophylline (200mg)
3437,15,27,2.0,Aceclofenac (100mg) 
3440,98,67,1.0,Erythromycin (0.1% w/w)
3446,45,37,1.0,Glimepiride (4mg) 
3453,93,64,1.0,Levocetirizine (5mg)
3457,20,15,1.0,Cefdinir (300mg)
3467,30,32,2.0,Cefalexin (500mg)
3477,30,34,2.0,Amoxycillin (500mg)
3488,70,52,1.0,Azithromycin (200mg/5ml)
3547,59,36,1.0,Levocetirizine (5mg)
3549,39,22,1.0,Aceclofenac (100mg) 
3552,75,52,1.0,Carboxymethylcellulose (0.5% w/v)
3558,65,43,1.0,Quetiapine (25mg)
3566,90,48,1.0,Levocetirizine (5mg) 
3589,9,18,2.0,Levocetirizine (2.5mg) 
3593,83,51,1.0,Amikacin (500mg)
3614,84,46,1.0,Alpha Ketoanalogue (NA)
3635,33,35,2.0,Paracetamol/Acetaminophen  (325mg) 
3642,22,22,2.0,Aceclofenac (100mg) 
3645,66,52,1.0,Amoxycillin  (500mg) 
3679,54,28,1.0,Aceclofenac (50mg/5ml) 
3696,55,30,1.0,Azithromycin (500mg)
3705,34,36,2.0,Cetirizine (10mg)
3707,50,40,1.0,Aceclofenac (100mg) 
3709,55,28,1.0,Cyproheptadine (2mg) 
3717,41,37,1.0,Aceclofenac (100mg) 
3725,74,42,1.0,Aceclofenac (100mg) 
3740,49,36,1.0,Abacavir (600mg) 
3755,95,59,1.0,Ambroxol (30mg) 
3761,20,23,2.0,Clotrimazole (1% w/w)
3768,15,23,2.0,Azithromycin (200mg)
3779,46,32,1.0,Atorvastatin (10mg) 
3800,70,39,1.0,Salbutamol (200mcg) 
3804,83,50,1.0,Disodium Hydrogen Citrate (1.4gm)
3806,34,26,1.0,Amoxycillin (500mg) 
3816,16,22,2.0,Finasteride (1mg)
3827,53,40,1.0,Aceclofenac (100mg) 
3830,83,50,1.0,Aceclofenac (100mg) 
3837,45,26,1.0,Ofloxacin (200mg)
3856,49,40,1.0,Disodium Hydrogen Citrate (1.37gm)
3875,89,45,1.0,Paracetamol (125mg/5ml)
3891,40,40,2.0,Nizatidine (NA)
3900,49,27,1.0,Disodium Hydrogen Citrate (1.37gm)
3920,90,46,1.0,Ambroxol (15mg/5ml) 
3932,81,48,1.0,Azithromycin (500mg)
3933,92,64,1.0,Atorvastatin (20mg)
3942,61,33,1.0,Cyproheptadine (2mg) 
3987,50,34,1.0,Chlorhexidine Gluconate (0.1% w/v)
3998,77,46,1.0,Aceclofenac (100mg) 
4003,76,49,1.0,Atorvastatin (10mg)
4007,76,54,1.0,Acebrophylline (100mg)
4021,87,57,1.0,Dicyclomine (20mg) 
4033,75,56,1.0,Anastrozole (1mg)
4049,15,14,1.0,Azithromycin (500mg)
4054,48,29,1.0,Aceclofenac (100mg) 
4055,79,53,1.0,Aripiprazole (15mg)
4058,29,21,1.0,Chlorzoxazone (250mg) 
4060,40,37,1.0,Domperidone (30mg) 
4069,46,33,1.0,Telmisartan (80mg) 
4085,36,25,1.0,Levocetirizine (5mg)
4091,32,18,1.0,Alprazolam (0.25mg) 
4098,40,36,1.0,Metoclopramide (10mg)
4100,29,20,1.0,Aceclofenac (100mg) 
4106,98,53,1.0,Cefuroxime (500mg)
4117,78,48,1.0,Isoxsuprine (10mg)
4119,70,42,1.0,Amlodipine (2.5mg) 
4137,57,30,1.0,Metoprolol Succinate (47.5mg)
4141,71,42,1.0,Loratadine (10mg)
4161,81,54,1.0,Mometasone (0.1% w/w)
4169,82,60,1.0,Ursodeoxycholic Acid (300mg)
4192,17,19,2.0,Salmeterol (50mcg) 
4197,78,51,1.0,Isotretinoin (20mg)
4214,69,36,1.0,Atorvastatin (20mg)
4217,88,58,1.0,Azithromycin (250mg)
4222,74,44,1.0,Nitroglycerin (6.4mg)
4229,49,32,1.0,Disodium Hydrogen Citrate (1.4gm)
4234,13,16,2.0,Aceclofenac (100mg) 
4244,21,18,1.0,Azithromycin (500mg)
4260,26,23,1.0,Nimesulide (100mg) 
4261,80,51,1.0,Metformin (500mg) 
4267,53,46,1.0,Carboxymethylcellulose (0.3% w/v) 
4269,33,24,1.0,Levocetirizine (5mg) 
4282,22,20,1.0,Aceclofenac (100mg) 
4292,6,22,3.0,Adapalene (0.1% w/w) 
4302,77,51,1.0,Aceclofenac (200mg)
4326,61,40,1.0,Hydrocortisone (100mg)
4331,74,48,1.0,Azithromycin (250mg)
4333,70,47,1.0,Alprazolam (0.25mg)
4341,77,51,1.0,Isotretinoin (0.025%)
4362,97,51,1.0,Azithromycin (200mg)
4384,45,37,1.0,Escitalopram Oxalate (10mg)
4419,12,20,2.0,Azithromycin (500mg)
4438,46,31,1.0,Aceclofenac (100mg) 
4459,85,47,1.0,Cyproheptadine (2mg) 
4462,60,33,1.0,Metronidazole (400mg)
4467,17,27,2.0,Aceclofenac (100mg) 
4478,53,39,1.0,Atorvastatin (20mg) 
4483,84,62,1.0,Amlodipine (5mg) 
4487,93,50,1.0,Aceclofenac (100mg) 
4498,70,43,1.0,Aceclofenac (100mg)
4514,80,43,1.0,Aceclofenac (100mg) 
4540,56,34,1.0,Diclofenac (NA) 
4542,72,38,1.0,Aceclofenac (50mg) 
4558,73,43,1.0,Thiocolchicoside (4mg) 
4576,59,39,1.0,Hydroxypropylmethylcellulose (2% w/v)
4585,11,15,2.0,Amitriptyline (10mg)
4587,70,48,1.0,Aripiprazole (10mg)
4592,32,18,1.0,Aceclofenac (100mg) 
4605,90,56,1.0,Esomeprazole (40mg)
4612,54,31,1.0,Sodium Picosulfate (5mg)
4622,19,19,2.0,Amoxycillin  (500mg) 
4628,40,21,1.0,Methylcobalamin (1500mcg) 
4640,36,27,1.0,Etofylline (231mg) 
4642,89,52,1.0,Azithromycin (500mg)
4647,84,51,1.0,Piracetam (800mg)
4648,27,18,1.0,Amorolfine (0.25%)
4656,69,54,1.0,Meropenem (1000mg)
4657,38,21,1.0,Azathioprine (50mg)
4662,70,51,1.0,Clonazepam (0.5mg) 
4672,6,21,3.0,Aceclofenac (100mg) 
4679,84,59,1.0,Sucralfate (1000mg) 
4684,65,40,1.0,Sultamicillin tosilate (375mg)
4691,54,34,1.0,Cyproheptadine (2mg) 
4699,98,56,1.0,Hydroxypropylmethylcellulose (2% w/v)
4710,33,25,1.0,Azithromycin (500mg)
4715,45,41,1.0,Nebivolol (5mg) 
4746,59,42,1.0,Disodium Hydrogen Citrate (NA)
4747,60,37,1.0,Olopatadine (0.2%)
4751,96,58,1.0,Benzoyl Peroxide (5% w/w)
4754,59,41,1.0,Entecavir (0.5mg)
4756,54,28,1.0,Fexofenadine (120mg)
4765,35,23,1.0,Amoxycillin (125mg)
4767,93,53,1.0,Azithromycin (500mg)
4773,75,55,1.0,Testosterone (1% w/w)
4775,52,26,1.0,Atorvastatin (20mg) 
4776,18,27,2.0,Calcitriol (0.25mcg) 
4782,40,36,1.0,Aceclofenac (100mg) 
4784,27,30,2.0,Aceclofenac (100mg) 
4785,86,46,1.0,Albumin (20%)
4793,40,28,1.0,Azithromycin (500mg)
4806,51,38,1.0,Trypsin Chymotrypsin (100000AU)
4808,71,46,1.0,Amitriptyline (50mg)
4812,96,60,1.0,Glimepiride (1mg) 
4814,79,48,1.0,Aceclofenac (100mg) 
4815,83,56,1.0,Ritonavir (50mg) 
4838,10,23,2.0,Nitroglycerin (6.5mg)
4846,36,28,1.0,Quinapril (10mg)
4909,42,27,1.0,Cefepime (1000mg) 
4927,34,21,1.0,Cyproheptadine (2mg) 
4943,64,49,1.0,Alprazolam (0.25mg)
4968,36,34,1.0,Clonazepam (0.5mg) 
4973,63,43,1.0,Aceclofenac (100mg) 
4982,36,24,1.0,Aceclofenac (200mg)
4987,49,36,1.0,Atropine (1% w/v)
4991,90,58,1.0,Azithromycin (200mg/5ml)
4998,31,32,2.0,Terbinafine (250mg)
5010,23,26,2.0,Amisulpride (50mg)
5018,57,43,1.0,Insulin Glulisine (300IU)
5030,50,40,1.0,Aceclofenac (100mg)
5032,77,50,1.0,Aceclofenac (100mg) 
5040,74,39,1.0,Cefpodoxime Proxetil (200mg) 
5042,96,50,1.0,Cetirizine (10mg)
5044,66,41,1.0,Bromelain (180mg) 
5046,78,40,1.0,Diacerein (50mg) 
5062,95,51,1.0,Amikacin (500mg)
5075,73,42,1.0,Tiotropium (9mcg)
5078,75,45,1.0,Levocetirizine (2.5mg)
5088,49,40,1.0,Aceclofenac (100mg) 
5094,75,55,1.0,Clonazepam (0.5mg) 
5110,38,30,1.0,Pantoprazole (40mg)
5121,56,47,1.0,Amitriptyline (12.5mg) 
5144,28,20,1.0,Azithromycin (200mg/5ml)
5156,35,22,1.0,Ambroxol (15mg/5ml) 
5168,87,52,1.0,Amikacin (100mg)
5169,68,48,1.0,Aceclofenac (100mg) 
5172,66,45,1.0,Heparin (5000IU)
5181,36,30,1.0,Ofloxacin (0.5%) 
5186,59,44,1.0,Nadifloxacin (1% w/w) 
5199,34,28,1.0,Salbutamol (NA) 
5202,21,21,2.0,Aceclofenac (100mg) 
5223,95,62,1.0,Amoxycillin (250mg) 
5227,24,28,2.0,Aceclofenac (100mg) 
5238,97,59,1.0,Disodium Hydrogen Citrate (1.37gm/5ml)
5245,57,42,1.0,Levofloxacin (500mg)
5262,12,16,2.0,Amoxycillin  (250mg) 
5267,43,32,1.0,Aceclofenac (100mg) 
5268,28,20,1.0,Mometasone (0.1% w/w) 
5275,72,42,1.0,Betahistine (16mg)
5297,96,68,1.0,Acitretin (25mg)
5306,43,30,1.0,Thiocolchicoside (4mg) 
5330,73,41,1.0,Aceclofenac (100mg) 
5340,53,45,1.0,Aceclofenac (100mg) 
5362,24,21,1.0,Ampicillin (250mg) 
5371,50,39,1.0,Atorvastatin (20mg)
5372,48,33,1.0,Clindamycin (1% w/w) 
5392,51,41,1.0,Aceclofenac (100mg) 
5416,49,27,1.0,Diclofenac (50mg) 
5423,30,20,1.0,Aceclofenac (100mg) 
5448,95,53,1.0,Alfuzosin (10mg)
5465,6,16,2.0,Cyproheptadine (2mg) 
5467,46,43,1.0,Magaldrate (400mg/5ml) 
5469,42,41,1.0,Testosterone (250mg)
5502,46,25,1.0,Clonazepam (0.25mg)
5511,48,36,1.0,Alendronic Acid (70mg)
5524,74,41,1.0,Clobetasol (0.05% w/w) 
5528,93,60,1.0,Aceclofenac (100mg) 
5539,83,44,1.0,Aceclofenac (100mg) 
5550,66,49,1.0,Amoxycillin (500mg) 
5551,38,28,1.0,Aceclofenac (100mg) 
5570,93,50,1.0,Captopril (25mg)
5575,18,23,2.0,Aceclofenac (100mg) 
5586,86,54,1.0,Amoxycillin  (500mg) 
5603,63,33,1.0,Etoricoxib (60mg) 
5619,47,27,1.0,Amisulpride (100mg)
5629,20,28,2.0,Domperidone (10mg) 
5635,94,63,1.0,Azithromycin (100mg)
5640,37,35,1.0,Itraconazole (200mg)
5641,30,32,2.0,Tianeptine (12.5mg)
5646,35,32,1.0,Aceclofenac (100mg) 
5647,60,30,1.0,Amlodipine (5mg)
5648,85,50,1.0,Adapalene (0.1% w/w)
5678,81,48,1.0,Amitriptyline (25mg)
5694,55,43,1.0,Ketoprofen (2.5% w/w)
5708,18,28,2.0,Azithromycin (500mg) 
5731,43,29,1.0,Paroxetine (37.5mg)
5744,35,31,1.0,Acyclovir (400mg)
5752,8,14,2.0,Aceclofenac (100mg) 
5765,82,44,1.0,Acebrophylline (50mg/5ml)
5771,21,30,2.0,Nimesulide (100mg)
5782,80,59,1.0,Azithromycin (500mg)
5783,5,12,2.0,Aceclofenac (100mg) 
5796,75,51,1.0,Cefpodoxime Proxetil (50mg/5ml) 
5815,94,51,1.0,Acebrophylline (200mg) 
5816,54,32,1.0,Amitriptyline (10mg)
5833,15,14,1.0,Amorolfine (0.25% w/w)
5861,46,32,1.0,Levocetirizine (5mg) 
5862,74,43,1.0,Azithromycin (250mg)
5879,20,30,2.0,Choline Theophyllinate (50mg) 
5881,44,28,1.0,Chlordiazepoxide (10mg)
5882,32,35,2.0,Domperidone (10mg) 
5916,54,36,1.0,Cefuroxime (500mg)
5917,40,36,1.0,Chloramphenicol (0.5% w/v)
